Date,Vegetable,Actual,Predicted
2025-03-11,Red Onion (Local),220.0,256.7929135652008
2025-03-12,Red Onion (Local),220.0,225.84967925946546
2025-03-13,Red Onion (Local),220.0,215.2615621373454
2025-03-14,Red Onion (Local),175.0,217.6279604670647
2025-03-15,Red Onion (Local),175.0,185.48810643840312
2025-03-16,Red Onion (Local),175.0,174.92395560026787
2025-03-17,Red Onion (Local),175.0,181.44119709716526
2025-03-18,Red Onion (Local),175.0,186.98550155567634
2025-03-19,Red Onion (Local),175.0,180.2175164770016
2025-03-20,Red Onion (Local),200.0,181.30738133002268
2025-03-21,Red Onion (Local),200.0,204.10626018915715
2025-03-22,Red Onion (Local),200.0,203.60835408535686
2025-03-23,Red Onion (Local),200.0,200.47186986480762
2025-03-24,Red Onion (Local),140.0,199.70356786922477
2025-03-25,Red Onion (Local),160.0,148.34087934164674
2025-03-26,Red Onion (Local),150.0,160.04496530959324
2025-03-27,Red Onion (Local),150.0,159.55647377802615
2025-03-28,Red Onion (Local),150.0,160.42937051644395
2025-03-29,Red Onion (Local),150.0,154.5280825668547
2025-03-30,Red Onion (Local),150.0,159.23929779889883
2025-03-31,Red Onion (Local),150.0,157.4779467832098
2025-04-01,Red Onion (Local),195.0,154.21351942640985
2025-04-02,Red Onion (Local),230.0,195.52106132475006
2025-04-03,Red Onion (Local),230.0,230.93421078029914
2025-04-04,Red Onion (Local),270.0,228.77836423411446
2025-04-05,Red Onion (Local),270.0,259.0319806600935
2025-04-06,Red Onion (Local),270.0,265.90780109285714
2025-04-07,Red Onion (Local),257.0,263.3764548429733
2025-04-08,Red Onion (Local),273.0,248.5946326180712
2025-04-09,Red Onion (Local),273.0,268.76115557660984
2025-04-10,Red Onion (Local),277.0,272.5155607560499
2025-04-11,Red Onion (Local),300.0,274.80315619760813
2025-04-12,Red Onion (Local),300.0,296.02359248585543
2025-04-13,Red Onion (Local),300.0,300.1028007777462
2025-04-14,Red Onion (Local),300.0,296.50695782063974
2025-04-15,Red Onion (Local),300.0,295.1693545748997
2025-04-16,Red Onion (Local),300.0,298.337794164131
2025-04-17,Red Onion (Local),300.0,297.6304403270037
2025-04-18,Red Onion (Local),300.0,297.75617711216677
2025-04-19,Red Onion (Local),300.0,299.18651480881874
2025-04-20,Red Onion (Local),300.0,299.3524453931074
2025-04-21,Red Onion (Local),275.0,299.1850461005277
2025-04-22,Red Onion (Local),265.0,276.67712321359625
2025-04-23,Red Onion (Local),265.0,265.44753781195146
2025-01-18,Banana (Sour),120.0,118.88558883803762
2025-01-19,Banana (Sour),120.0,119.32063224886788
2025-01-20,Banana (Sour),100.0,117.49587111847534
2025-01-21,Banana (Sour),100.0,101.42660230239727
2025-01-22,Banana (Sour),100.0,102.68713231209249
2025-01-23,Banana (Sour),100.0,101.18540017175857
2025-01-24,Banana (Sour),100.0,100.75442963740065
2025-01-25,Banana (Sour),100.0,102.2943525640049
2025-01-26,Banana (Sour),100.0,100.48874266371804
2025-01-27,Banana (Sour),100.0,101.50901049832898
2025-01-28,Banana (Sour),100.0,101.289667250103
2025-01-29,Banana (Sour),100.0,101.27775815240071
2025-01-30,Banana (Sour),100.0,100.68583785852549
2025-01-31,Banana (Sour),120.0,100.70321913468757
2025-02-01,Banana (Sour),120.0,118.57720406747876
2025-02-02,Banana (Sour),120.0,116.28477033160483
2025-02-03,Banana (Sour),100.0,118.03041007306972
2025-02-04,Banana (Sour),100.0,100.58999354777117
2025-02-05,Banana (Sour),120.0,101.90191761265417
2025-02-06,Banana (Sour),120.0,119.83059903687645
2025-02-07,Banana (Sour),120.0,116.07734717749645
2025-02-08,Banana (Sour),120.0,119.04945544832071
2025-02-09,Banana (Sour),120.0,117.70472053086834
2025-02-10,Banana (Sour),120.0,118.27286717823617
2025-02-11,Banana (Sour),120.0,119.84751807586885
2025-02-12,Banana (Sour),120.0,118.8164816800519
2025-02-13,Banana (Sour),100.0,118.46757163763401
2025-02-14,Banana (Sour),100.0,100.57427302326442
2025-02-15,Banana (Sour),100.0,103.39601415799858
2025-02-16,Banana (Sour),100.0,101.65158987330659
2025-02-17,Banana (Sour),100.0,101.20132606668918
2025-02-18,Banana (Sour),100.0,102.19308968704676
2025-02-19,Banana (Sour),100.0,100.40548556803256
2025-02-20,Banana (Sour),100.0,101.45965315902673
2025-02-21,Banana (Sour),120.0,101.23542425672836
2025-02-22,Banana (Sour),120.0,119.11990829324426
2025-02-23,Banana (Sour),120.0,116.28597131846354
2025-02-24,Banana (Sour),100.0,118.02725641218152
2025-02-25,Banana (Sour),100.0,100.57504608411767
2025-02-26,Banana (Sour),100.0,101.85822006480679
2025-02-27,Banana (Sour),120.0,101.92115804809652
2025-02-28,Banana (Sour),120.0,118.33875978977937
2025-03-01,Banana (Sour),120.0,117.26640862435781
2025-03-02,Banana (Sour),120.0,117.20747964287723
2025-03-03,Banana (Sour),120.0,119.23440870043383
2025-03-04,Banana (Sour),120.0,118.01582704263105
2025-03-05,Banana (Sour),120.0,119.81014293131436
2025-03-06,Banana (Sour),120.0,118.22606207374996
2025-03-07,Banana (Sour),120.0,118.45744688261168
2025-03-08,Banana (Sour),120.0,118.45846243850953
2025-03-09,Banana (Sour),120.0,119.02056247548764
2025-03-10,Banana (Sour),120.0,119.02105612101145
2025-03-11,Banana (Sour),100.0,119.024646478952
2025-03-12,Banana (Sour),100.0,101.13975452489883
